Episode 563, Reward: 450
Episode 564, Reward: 200
Episode 565, Reward: 450
Episode 566, Reward: 450
Episode 567, Reward: 150
Episode 568, Reward: 300
Episode 569, Reward: 200
Episode 570, Reward: 250
Episode 571, Reward: 250
Episode 572, Reward: 600
Episode 573, Reward: 400
Episode 574, Reward: 350
Episode 575, Reward: 200
Episode 576, Reward: 250
Episode 577, Reward: 350
Episode 578, Reward: 100
Episode 579, Reward: 400
Episode  580 | eps=0.699 | mean=305.0 | best=600.0 | steps=150537
Episode 580, Reward: 100
Episode 581, Reward: 200
Episode 582, Reward: 400
Episode 583, Reward: 300
Episode 584, Reward: 150
Episode 585, Reward: 350
Episode 586, Reward: 250
Episode 587, Reward: 250
Episode 588, Reward: 200
Episode 589, Reward: 250
Episode 590, Reward: 400
Episode 591, Reward: 850
Episode 592, Reward: 150
Episode 593, Reward: 500
Episode 594, Reward: 150
Episode 595, Reward: 300
Episode 596, Reward: 250
Episode 597, Reward: 50
Episode 598, Reward: 100
Episode 599, Reward: 450
Episode  600 | eps=0.688 | mean=282.5 | best=850.0 | steps=155791
Episode 600, Reward: 150
Episode 601, Reward: 200
Episode 602, Reward: 200
Episode 603, Reward: 200
Episode 604, Reward: 350
Episode 605, Reward: 150
Episode 606, Reward: 300
Episode 607, Reward: 450
Episode 608, Reward: 250
Episode 609, Reward: 150
Episode 610, Reward: 400
Episode 611, Reward: 300
Episode 612, Reward: 100
Episode 613, Reward: 300
Episode 614, Reward: 400
Episode 615, Reward: 100
Episode 616, Reward: 400
Episode 617, Reward: 150
Episode 618, Reward: 200
Episode 619, Reward: 200
Episode  620 | eps=0.679 | mean=247.5 | best=450.0 | steps=160529
Episode 620, Reward: 350
Episode 621, Reward: 150
Episode 622, Reward: 100
Episode 623, Reward: 250
Episode 624, Reward: 300
Episode 625, Reward: 350
Episode 626, Reward: 100
Episode 627, Reward: 200
Episode 628, Reward: 200
Episode 629, Reward: 150
Episode 630, Reward: 300
Episode 631, Reward: 250
Episode 632, Reward: 200
Episode 633, Reward: 150
Episode 634, Reward: 250
Episode 635, Reward: 300
Episode 636, Reward: 500
Episode 637, Reward: 250
Episode 638, Reward: 200
Episode 639, Reward: 350
Episode  640 | eps=0.669 | mean=245.0 | best=500.0 | steps=165409
Episode 640, Reward: 100
Episode 641, Reward: 200
Episode 642, Reward: 200
Episode 643, Reward: 400
Episode 644, Reward: 150
Episode 645, Reward: 600
Episode 646, Reward: 250
Episode 647, Reward: 300
Episode 648, Reward: 350
Episode 649, Reward: 600
Episode 650, Reward: 450
Episode 651, Reward: 250
Episode 652, Reward: 150
Episode 653, Reward: 150
Episode 654, Reward: 200
Episode 655, Reward: 200
Episode 656, Reward: 650
Episode 657, Reward: 150
Episode 658, Reward: 450
Episode 659, Reward: 300
Episode  660 | eps=0.659 | mean=305.0 | best=650.0 | steps=170325
Episode 660, Reward: 350
Episode 661, Reward: 350
Episode 662, Reward: 350
Episode 663, Reward: 350
Episode 664, Reward: 100
Episode 665, Reward: 250
Episode 666, Reward: 150
Episode 667, Reward: 200
Episode 668, Reward: 550
Episode 669, Reward: 150
Episode 670, Reward: 250
Episode 671, Reward: 300
Episode 672, Reward: 100
Episode 673, Reward: 150
Episode 674, Reward: 150
Episode 675, Reward: 150
Episode 676, Reward: 150
Episode 677, Reward: 450
Episode 678, Reward: 250
Episode 679, Reward: 400
Episode  680 | eps=0.650 | mean=257.5 | best=550.0 | steps=175097
Episode 680, Reward: 300
Episode 681, Reward: 350
Episode 682, Reward: 200
Episode 683, Reward: 150
Episode 684, Reward: 250
Episode 685, Reward: 200
Episode 686, Reward: 350
Episode 687, Reward: 350
Episode 688, Reward: 350
Episode 689, Reward: 300
Episode 690, Reward: 350
Episode 691, Reward: 250
Episode 692, Reward: 300
Episode 693, Reward: 450
Episode 694, Reward: 250
Episode 695, Reward: 350
Episode 696, Reward: 100
Episode 697, Reward: 450
Episode 698, Reward: 300
Episode 699, Reward: 100
Episode  700 | eps=0.639 | mean=285.0 | best=450.0 | steps=180330
Episode 700, Reward: 200
Episode 701, Reward: 150
Episode 702, Reward: 100
Episode 703, Reward: 250
Episode 704, Reward: 200
Episode 705, Reward: 250
Episode 706, Reward: 500
Episode 707, Reward: 150
Episode 708, Reward: 300
Episode 709, Reward: 900
Episode 710, Reward: 250
Episode 711, Reward: 250
Episode 712, Reward: 100
Episode 713, Reward: 150
Episode 714, Reward: 200
Episode 715, Reward: 400
