Episode 372, Reward: 300
Episode 373, Reward: 400
Episode 374, Reward: 250
Episode 375, Reward: 400
Episode 376, Reward: 150
Episode 377, Reward: 150
Episode 378, Reward: 250
Episode 379, Reward: 350
Episode  380 | eps=0.100 | mean=380.0 | best=900.0 | steps=98439
Episode 380, Reward: 300
Episode 381, Reward: 350
Episode 382, Reward: 400
Episode 383, Reward: 300
Episode 384, Reward: 500
Episode 385, Reward: 400
Episode 386, Reward: 550
Episode 387, Reward: 600
Episode 388, Reward: 600
Episode 389, Reward: 250
Episode 390, Reward: 200
Episode 391, Reward: 400
Episode 392, Reward: 250
Episode 393, Reward: 250
Episode 394, Reward: 300
Episode 395, Reward: 350
Episode 396, Reward: 350
Episode 397, Reward: 150
Episode 398, Reward: 300
Episode 399, Reward: 400
Episode  400 | eps=0.100 | mean=360.0 | best=600.0 | steps=103516
Episode 400, Reward: 200
Episode 401, Reward: 700
Episode 402, Reward: 300
Episode 403, Reward: 400
Episode 404, Reward: 400
Episode 405, Reward: 350
Episode 406, Reward: 550
Episode 407, Reward: 550
Episode 408, Reward: 550
Episode 409, Reward: 350
Episode 410, Reward: 500
Episode 411, Reward: 450
Episode 412, Reward: 250
Episode 413, Reward: 250
Episode 414, Reward: 150
Episode 415, Reward: 300
Episode 416, Reward: 350
Episode 417, Reward: 300
Episode 418, Reward: 300
Episode 419, Reward: 250
Episode  420 | eps=0.100 | mean=372.5 | best=700.0 | steps=108777
Episode 420, Reward: 300
Episode 421, Reward: 650
Episode 422, Reward: 200
Episode 423, Reward: 250
Episode 424, Reward: 250
Episode 425, Reward: 200
Episode 426, Reward: 250
Episode 427, Reward: 200
Episode 428, Reward: 550
Episode 429, Reward: 200
Episode 430, Reward: 300
Episode 431, Reward: 500
Episode 432, Reward: 450
Episode 433, Reward: 250
Episode 434, Reward: 250
Episode 435, Reward: 400
Episode 436, Reward: 250
Episode 437, Reward: 200
Episode 438, Reward: 250
Episode 439, Reward: 200
Episode  440 | eps=0.100 | mean=305.0 | best=650.0 | steps=113598
Episode 440, Reward: 350
Episode 441, Reward: 500
Episode 442, Reward: 150
Episode 443, Reward: 400
Episode 444, Reward: 300
Episode 445, Reward: 300
Episode 446, Reward: 450
Episode 447, Reward: 350
Episode 448, Reward: 250
Episode 449, Reward: 400
Episode 450, Reward: 350
Episode 451, Reward: 500
Episode 452, Reward: 200
Episode 453, Reward: 600
Episode 454, Reward: 250
Episode 455, Reward: 450
Episode 456, Reward: 150
Episode 457, Reward: 350
Episode 458, Reward: 100
Episode 459, Reward: 600
Episode  460 | eps=0.100 | mean=350.0 | best=600.0 | steps=118910
Episode 460, Reward: 400
Episode 461, Reward: 350
Episode 462, Reward: 200
Episode 463, Reward: 200
Episode 464, Reward: 200
Episode 465, Reward: 800
Episode 466, Reward: 250
Episode 467, Reward: 400
Episode 468, Reward: 150
Episode 469, Reward: 600
Episode 470, Reward: 200
Episode 471, Reward: 50
Episode 472, Reward: 400
Episode 473, Reward: 450
Episode 474, Reward: 200
Episode 475, Reward: 300
Episode 476, Reward: 150
Episode 477, Reward: 100
Episode 478, Reward: 100
Episode 479, Reward: 350
Episode  480 | eps=0.100 | mean=292.5 | best=800.0 | steps=124093
Episode 480, Reward: 350
Episode 481, Reward: 450
Episode 482, Reward: 100
Episode 483, Reward: 400
Episode 484, Reward: 600
Episode 485, Reward: 500
Episode 486, Reward: 350
Episode 487, Reward: 500
Episode 488, Reward: 400
Episode 489, Reward: 450
Episode 490, Reward: 100
Episode 491, Reward: 450
Episode 492, Reward: 250
Episode 493, Reward: 250
Episode 494, Reward: 300
Episode 495, Reward: 200
Episode 496, Reward: 250
Episode 497, Reward: 500
Episode 498, Reward: 600
Episode 499, Reward: 300
Episode  500 | eps=0.100 | mean=365.0 | best=600.0 | steps=129585
Episode 500, Reward: 550
Checkpoint saved — episode 500, steps 129900
Checkpoint saved at episode 500
Episode 501, Reward: 300
Episode 502, Reward: 450
Episode 503, Reward: 150
Episode 504, Reward: 550
Episode 505, Reward: 250
Episode 506, Reward: 300
Episode 507, Reward: 500
Episode 508, Reward: 300
Episode 509, Reward: 350
Episode 510, Reward: 300
Episode 511, Reward: 50
Episode 512, Reward: 500
Episode 513, Reward: 600
Episode 514, Reward: 200
Episode 515, Reward: 250
Episode 516, Reward: 300
Episode 517, Reward: 350
Episode 518, Reward: 300
Episode 519, Reward: 300
Episode  520 | eps=0.100 | mean=342.5 | best=600.0 | steps=135239
Episode 520, Reward: 450
Episode 521, Reward: 200
Episode 522, Reward: 400
Episode 523, Reward: 350
Episode 524, Reward: 350
Episode 525, Reward: 1000
Episode 526, Reward: 450
Episode 527, Reward: 500
Episode 528, Reward: 250
Episode 529, Reward: 500
Episode 530, Reward: 450
Episode 531, Reward: 400
Episode 532, Reward: 250
Episode 533, Reward: 100
Episode 534, Reward: 200
Episode 535, Reward: 450
Episode 536, Reward: 450
Episode 537, Reward: 350
Episode 538, Reward: 300
Episode 539, Reward: 350
Episode  540 | eps=0.100 | mean=387.5 | best=1000.0 | steps=140833
Episode 540, Reward: 150
Episode 541, Reward: 150
Episode 542, Reward: 350
Episode 543, Reward: 150
Episode 544, Reward: 150
Episode 545, Reward: 150
Episode 546, Reward: 200
Episode 547, Reward: 150
Episode 548, Reward: 300
Episode 549, Reward: 250
Episode 550, Reward: 150
Episode 551, Reward: 200
Episode 552, Reward: 550
Episode 553, Reward: 350
Episode 554, Reward: 150
Episode 555, Reward: 150
Episode 556, Reward: 500
Episode 557, Reward: 450
Episode 558, Reward: 500
Episode 559, Reward: 150
Episode  560 | eps=0.100 | mean=257.5 | best=550.0 | steps=145799
Episode 560, Reward: 400
Episode 561, Reward: 300
Episode 562, Reward: 450
Episode 563, Reward: 300
Episode 564, Reward: 200
Episode 565, Reward: 250
Episode 566, Reward: 300
Episode 567, Reward: 350
Episode 568, Reward: 550
Episode 569, Reward: 150
Episode 570, Reward: 150
Episode 571, Reward: 200
Episode 572, Reward: 250
Episode 573, Reward: 150
Episode 574, Reward: 200
Episode 575, Reward: 150
Episode 576, Reward: 500
Episode 577, Reward: 250
Episode 578, Reward: 500
Episode 579, Reward: 550
Episode  580 | eps=0.100 | mean=307.5 | best=550.0 | steps=150694
Episode 580, Reward: 250
Episode 581, Reward: 450
Episode 582, Reward: 300
Episode 583, Reward: 200
Episode 584, Reward: 600
Episode 585, Reward: 300
Episode 586, Reward: 400
Episode 587, Reward: 200
Episode 588, Reward: 250
Episode 589, Reward: 200
Episode 590, Reward: 250
Episode 591, Reward: 350
Episode 592, Reward: 300
Episode 593, Reward: 250
Episode 594, Reward: 400
Episode 595, Reward: 550
Episode 596, Reward: 100
Episode 597, Reward: 250
Episode 598, Reward: 300
Episode 599, Reward: 200
Episode  600 | eps=0.100 | mean=305.0 | best=600.0 | steps=155881
Episode 600, Reward: 400
Episode 601, Reward: 350
Episode 602, Reward: 250
Episode 603, Reward: 200
Episode 604, Reward: 200
Episode 605, Reward: 200
Episode 606, Reward: 500
Episode 607, Reward: 150
Episode 608, Reward: 450
Episode 609, Reward: 300
Episode 610, Reward: 400
Episode 611, Reward: 250
Episode 612, Reward: 400
Episode 613, Reward: 200
Episode 614, Reward: 250
Episode 615, Reward: 250
Episode 616, Reward: 400
Episode 617, Reward: 600
Episode 618, Reward: 450
Episode 619, Reward: 450
Episode  620 | eps=0.100 | mean=332.5 | best=600.0 | steps=160837
Episode 620, Reward: 650
Episode 621, Reward: 550
Episode 622, Reward: 300
Episode 623, Reward: 150
Episode 624, Reward: 150
Episode 625, Reward: 600
Episode 626, Reward: 150
Episode 627, Reward: 450
Episode 628, Reward: 300
Episode 629, Reward: 200
Episode 630, Reward: 300
Episode 631, Reward: 450
Episode 632, Reward: 900
Episode 633, Reward: 350
Episode 634, Reward: 250
Episode 635, Reward: 850
Episode 636, Reward: 350
Episode 637, Reward: 300
Episode 638, Reward: 350
Episode 639, Reward: 350
Episode  640 | eps=0.100 | mean=397.5 | best=900.0 | steps=166385
Episode 640, Reward: 250
Episode 641, Reward: 150
Episode 642, Reward: 250
Episode 643, Reward: 350
Episode 644, Reward: 200
Episode 645, Reward: 200
Episode 646, Reward: 900
Episode 647, Reward: 250
Episode 648, Reward: 400
Episode 649, Reward: 200
Episode 650, Reward: 500
Episode 651, Reward: 200
Episode 652, Reward: 300
Episode 653, Reward: 350
Episode 654, Reward: 300
Episode 655, Reward: 400
Episode 656, Reward: 300
